Driver ID,Driver First Name,Driver Last Name,Permanent Number,Driver Code,Date of Birth,Nationality
albers,Christijan,Albers,,ALB,1979-04-16,Dutch
alonso,Fernando,Alonso,14,ALO,1981-07-29,Spanish
barrichello,Rubens,Barrichello,,BAR,1972-05-23,Brazilian
button,Jenson,Button,22,BUT,1980-01-19,British
coulthard,David,Coulthard,,COU,1971-03-27,British
davidson,Anthony,Davidson,,DAV,1979-04-18,British
fisichella,Giancarlo,Fisichella,,FIS,1973-01-14,Italian
hamilton,Lewis,Hamilton,44,HAM,1985-01-07,British
heidfeld,Nick,Heidfeld,,HEI,1977-05-10,German
kovalainen,Heikki,Kovalainen,,KOV,1981-10-19,Finnish
kubica,Robert,Kubica,88,KUB,1984-12-07,Polish
liuzzi,Vitantonio,Liuzzi,,LIU,1980-08-06,Italian
massa,Felipe,Massa,19,MAS,1981-04-25,Brazilian
nakajima,Kazuki,Nakajima,,NAK,1985-01-11,Japanese
raikkonen,Kimi,Räikkönen,7,RAI,1979-10-17,Finnish
rosberg,Nico,Rosberg,6,ROS,1985-06-27,German
sato,Takuma,Sato,,SAT,1977-01-28,Japanese
ralf_schumacher,Ralf,Schumacher,,SCH,1975-06-30,German
speed,Scott,Speed,,SPE,1983-01-24,American
sutil,Adrian,Sutil,99,SUT,1983-01-11,German
trulli,Jarno,Trulli,,TRU,1974-07-13,Italian
vettel,Sebastian,Vettel,5,VET,1987-07-03,German
webber,Mark,Webber,,WEB,1976-08-27,Australian
markus_winkelhock,Markus,Winkelhock,,WIN,1980-06-13,German
wurz,Alexander,Wurz,,WUR,1974-02-15,Austrian
yamamoto,Sakon,Yamamoto,,YAM,1982-07-09,Japanese
